Time,Activity,Temp,Lag
0013-10-17 20:36:00,121.4,31.43,0
0013-10-17 20:41:00,39.2,31.79,1
0013-10-17 20:46:00,26.2,32.03,2
0013-10-17 20:51:00,25.2,32.24,3
0013-10-17 20:56:00,19.2,32.34,4
0013-10-17 21:01:00,50.4,32.35,5
0013-10-17 21:06:00,2.8,32.36,6
0013-10-17 21:11:00,10.8,32.83,7
0013-10-17 21:16:00,1.2,33.37,8
0013-10-17 21:21:00,3.2,33.91,9
0013-10-17 21:26:00,6.8,34.45,10
0013-10-17 21:31:00,7.6,35.1,11
0013-10-17 21:36:00,2.8,35.46,12
0013-10-17 21:41:00,0.4,35.75,13
0013-10-17 21:46:00,6.8,36.05,14
0013-10-17 21:51:00,5.6,36.33,15
0013-10-17 21:56:00,2,36.47,16
0013-10-17 22:01:00,1.2,36.6,17
0013-10-17 22:06:00,14,36.74,18
0013-10-17 22:11:00,2.8,36.76,19
0013-10-17 22:16:00,2.8,36.75,20
0013-10-17 22:21:00,1.2,36.84,21
0013-10-17 22:26:00,0,36.9,22
0013-10-17 22:31:00,74.6,36.86,23
0013-10-17 22:36:00,25.2,36.47,24
0013-10-17 22:41:00,4,36.44,25
0013-10-17 22:46:00,1.2,36.51,26
0013-10-17 22:51:00,35.6,36.39,27
0013-10-17 22:56:00,22.8,36.3,28
0013-10-17 23:01:00,2.4,36.43,29
0013-10-17 23:06:00,2.4,36.61,30
0013-10-17 23:11:00,0,36.78,31
0013-10-17 23:16:00,1.6,36.89,32
0013-10-17 23:21:00,0.4,36.98,33
0013-10-17 23:26:00,0.8,37.02,34
0013-10-17 23:31:00,0.4,37.09,35
0013-10-17 23:36:00,0.4,37.15,36
0013-10-17 23:41:00,0,37.14,37
0013-10-17 23:46:00,2,37.18,38
0013-10-17 23:51:00,0,37.18,39
0013-10-17 23:56:00,0,37.21,40
0013-10-18 00:01:00,0,37.21,41
0013-10-18 00:06:00,20.8,37.19,42
0013-10-18 00:11:00,0.4,36.76,43
0013-10-18 00:16:00,0.4,36.15,44
0013-10-18 00:21:00,1.6,35.75,45
0013-10-18 00:26:00,2.4,35.56,46
0013-10-18 00:31:00,2,35.4,47
0013-10-18 00:36:00,1.2,35.24,48
0013-10-18 00:41:00,3.2,35.16,49
0013-10-18 00:46:00,2,35.07,50
0013-10-18 00:51:00,0,34.95,51
0013-10-18 00:56:00,0.8,34.86,52
0013-10-18 01:01:00,1.6,34.77,53
0013-10-18 01:06:00,2,34.71,54
0013-10-18 01:11:00,0.8,34.67,55
0013-10-18 01:16:00,11.2,34.58,56
0013-10-18 01:21:00,9.6,34.76,57
0013-10-18 01:26:00,98.4,34.54,58
0013-10-18 01:31:00,0,34.25,59
0013-10-18 01:36:00,0.4,34.68,60
0013-10-18 01:41:00,0,35.05,61
0013-10-18 01:46:00,0.4,35.37,62
0013-10-18 01:51:00,0.8,35.63,63
0013-10-18 01:56:00,1.2,35.85,64
0013-10-18 02:01:00,0,36.05,65
0013-10-18 02:06:00,0.8,36.2,66
0013-10-18 02:11:00,0.8,36.32,67
0013-10-18 02:16:00,0,36.34,68
0013-10-18 02:21:00,0,36.41,69
0013-10-18 02:26:00,0,36.49,70
0013-10-18 02:31:00,0,36.57,71
0013-10-18 02:36:00,0,36.6,72
0013-10-18 02:41:00,0,36.67,73
0013-10-18 02:46:00,3.2,36.67,74
0013-10-18 02:51:00,14,36.62,75
0013-10-18 02:56:00,0.4,36.36,76
0013-10-18 03:01:00,0,36.16,77
0013-10-18 03:06:00,0.8,36.1,78
0013-10-18 03:11:00,0,36.06,79
0013-10-18 03:16:00,0,36.05,80
0013-10-18 03:21:00,1.6,36.07,81
0013-10-18 03:26:00,0.4,36.07,82
0013-10-18 03:31:00,1.6,36.09,83
0013-10-18 03:36:00,0.4,36.1,84
0013-10-18 03:41:00,2.8,36.09,85
0013-10-18 03:46:00,1.2,35.96,86
0013-10-18 03:51:00,22,35.8,87
0013-10-18 03:56:00,2,35.73,88
0013-10-18 04:01:00,1.2,35.8,89
0013-10-18 04:06:00,0.4,35.81,90
0013-10-18 04:11:00,1.2,35.82,91
0013-10-18 04:16:00,1.6,35.79,92
0013-10-18 04:21:00,1.6,35.8,93
0013-10-18 04:26:00,0,35.83,94
0013-10-18 04:31:00,1.6,35.86,95
0013-10-18 04:36:00,15.6,35.87,96
0013-10-18 04:41:00,3.6,35.76,97
0013-10-18 04:46:00,0.8,35.75,98
0013-10-18 04:51:00,1.6,35.77,99
0013-10-18 04:56:00,1.6,35.82,100
0013-10-18 05:01:00,0,35.83,101
0013-10-18 05:06:00,0,35.81,102
0013-10-18 05:11:00,0,35.81,103
0013-10-18 05:16:00,4,35.8,104
0013-10-18 05:21:00,0,35.72,105
0013-10-18 05:26:00,0,35.71,106
0013-10-18 05:31:00,9.6,35.72,107
0013-10-18 05:36:00,4.8,35.81,108
0013-10-18 05:41:00,1.2,36.02,109
0013-10-18 05:46:00,1.2,36.13,110
